English|vowel|samog≥oska|
English|diarrhoea|biegunka|
English|constipation|zatwardzenie|
English|pronounce|wymawiaÊ|
English|stroke|udar|
English|triple bypass|pomostowanie aortalno-wieÒcowe|
English|hepatitis|øÛ≥taczka|
English|sprain|skrÍciÊ|
English|pneumonia|zapalenie p≥uc|
English|cough|kaszleÊ|
English|rheumatism|reumatyzm|
"English|arthritis|""reumatyzm| zapalenie stawÛw""|-"
"English|epilepsy|""padaczka| epilepsja""|-"
English|sneeze|kichaÊ|
English|rash|wysypka|
English|sore throat|bolπce gard≥o|
English|temperature|gorπczka|
English|earache|bÛl ucha|
English|chest pains |bÛl w klatce piersiowej|
English|toothache|bÛl zÍba|
English|My ankle is swollen|Moja kostka jest spuchniÍta|
English|dizzy|zawroty g≥owy|
English|shivers|dreszcze|
English|itch|swÍdzieÊ|
English|hangover|kac|
"English|blister|""bπbel| pÍcherz""|-"
English|hay fever|katar sienny|
English|bruise|siniak|
English|indigestion|niestrawnoúÊ|k≥opoty z trawieniem
English|injection|zastrzyk|
English|health insurance|ubezpieczenie zdrowotne|
English|plaster cast|gibs|
English|to throw up|wymiotowaÊ|
English|twist|skrÍciÊ|
"English|swollen|""spuchniÍty| wezbrany""|-"
English|increasingly|coraz (bardziej lub czÍúciej)|
"English|depend upon|""polegaÊ na kimú/czymú| zaleøeÊ od kogoú/czegoú""|-"
English|ground-breaking|prze≥omowy|
English|accurate|dok≥adny|
"English|external |""zewnÍtrzny| niezaleøny""|-"
"English|properly |""prawid≥owo| odpowiednio""|-"
"English|free weights|wolne ciÍøary|""sztangi| hantle""-"
English|air-conditioning|klimatyzacja|
"English|facilities |""zaplecze| wyposaøenie""|-"
English|paragliding|paralotniarstwo|
English|spectator|widz|
English|net|siatka|
"English|course|""tor| pole""|-"
"English|court|""boisko| kort""|-"
"English|pitch|""miotacz| rzucaÊ pi≥kÍ""|-"
"English|rink|""lodowisko| tor""|-"
English|track|bieønia|
English|pursuit|pogoÒ|
English|diversion|rozrywka|
"English|commitment
|zaangaøowanie|"
English|obedience|pos≥uszeÒstwo|
English|enclosed|ogrodzony|
English|sedentary|siedzπcy|
English|undemanding|niewymagajπcy|
English|intramural|uczelniany|
English|interscholastic|miÍdzyszkolny|
English|bustling|wybuchowy|
English|sketch|szkic|
English|watercolour painting|akwarela|
English|self-portrait|autoportret|
English|canvas|p≥Ûtno|
English|temporary|tymczasowy|
English|display|ekspozycja|
English|devoted|oddany|
English|exhibition|wystawa|
English|entrance|wejúcie|
English|insufficient|niewystarczajπcy|
English|preferable|lepszy|
English|dithered|niepe≥ny (o kolorze)|
English|high-fidelity|wysoka wiernoúÊ|
English|degradation in image quality|pogorszenie siÍ jakoúci obrazu|
"English|mayhem|""chaos| zamÍt""|-"
"English|insanity|""ob≥Íd| szaleÒstwo""|-"
"English|venue|""miejsce| lokalizacja""|-"
English|sanity|zdrowy rozsπdek|
English|madness|szaleÒstwo|
English|common sense|zdrowy rozsπdek|
English|haemorrhage|krwotok|
English|novel|powieúÊ|
English|volume|tom|
English|to come out|ukazaÊ siÍ|o ksiπøce
English|encyclopaedia|encyklopedia|
"English|manuscript|""manuskrypt| rÍkopis""|-"
English|cover|ok≥adka|
English|poem|wiersz|
English|the publishing house|wydawnictwo|
English|edition|wydanie|
English|textbook|podrÍcznik|
English|short story|opowiadanie|
English|a copy of the book|egzemplarz ksiπøki|
English|poetry|poezja|
English|hardback|twarda ok≥adka|
"English|whodunnit|""krymina≥| powieúÊ kryminalna""|-"
English|paperback|miÍkka ok≥adka|
English|spy|szpieg|
English|journalist|dziennikarka|
English|plumber|hydraulik|
English|stockbroker|makler (gie≥dowy)|
English|carpenter|stolarz|
"English|perks|""korzyúÊ| úwiadczenie""|-"
English|be made redundant|byÊ zwolnionym|
English|unemployed|bezrobotny|
English|retire|przechodziÊ na emeryturÍ|
English|employer|pracodawca|
English|employee|pracownik|
English|to get a pay rise|dostaÊ podwyøkÍ|
English|pension|emerytura|
English|trade union|zwiπzek zawodowy|
English|get the sack|dostaÊ zwolnienie z pracy|
English|employ|zatrudniaÊ|
English|employment|zatrudnienie|
"English|welfare|""dobro| zasi≥ek""|-"
English|anguish |udrÍka|
English|endowment|obdarowanie|
English|well-being|pomyúlnoúÊ|
English|suffering|cierpienie|
"English|post|""stanowisko| posada""|-"
English|tie|krawat|
English|suit|garnitur|
English|tracksuit|dres|
English|waistcoat|kamizelka|vest
English|polo neck|koszulka polo|turtleneck